kind,epoch,batch,total,value,policy,samples
epoch,85,0,18596.205078,567.089661,18029.115234,7
batch,86,1,13275.054688,1287.125732,11987.928711,3
epoch,86,0,13275.054688,1287.125732,11987.928711,3
batch,87,1,26616.687500,1287.262939,25329.423828,3
epoch,87,0,26616.687500,1287.262939,25329.423828,3
batch,88,1,13881.854492,8.830194,13873.024414,2
epoch,88,0,13881.854492,8.830194,13873.024414,2
batch,89,1,14324.699219,8.630416,14316.068359,2
epoch,89,0,14324.699219,8.630416,14316.068359,2
batch,90,1,25430.515625,780.734009,24649.781250,5
epoch,90,0,25430.515625,780.734009,24649.781250,5
batch,91,1,12662.292969,1205.880005,11456.413086,3
epoch,91,0,12662.292969,1205.880005,11456.413086,3
batch,92,1,12475.531250,1287.255249,11188.276367,3
epoch,92,0,12475.531250,1287.255249,11188.276367,3
batch,93,1,22472.716797,1287.313110,21185.404297,3
epoch,93,0,22472.716797,1287.313110,21185.404297,3
batch,94,1,15535.552734,1287.096436,14248.456055,3
epoch,94,0,15535.552734,1287.096436,14248.456055,3
batch,95,1,17073.660156,1287.241821,15786.417969,3
epoch,95,0,17073.660156,1287.241821,15786.417969,3
batch,96,1,12291.243164,1287.240601,11004.002930,3
epoch,96,0,12291.243164,1287.240601,11004.002930,3
batch,97,1,15394.083008,679.909546,14714.173828,5
epoch,97,0,15394.083008,679.909546,14714.173828,5
batch,98,1,11622.999023,539.275330,11083.723633,3
epoch,98,0,11622.999023,539.275330,11083.723633,3
batch,99,1,13809.084961,8.685363,13800.399414,2
epoch,99,0,13809.084961,8.685363,13800.399414,2
batch,100,1,17624.574219,1205.940918,16418.632812,3
epoch,100,0,17624.574219,1205.940918,16418.632812,3
batch,101,1,65233.476562,1287.178955,63946.296875,3
epoch,101,0,65233.476562,1287.178955,63946.296875,3
batch,102,1,14320.750000,1287.268066,13033.481445,3
epoch,102,0,14320.750000,1287.268066,13033.481445,3
batch,103,1,18111.328125,775.757629,17335.570312,5
epoch,103,0,18111.328125,775.757629,17335.570312,5
batch,104,1,13080.085938,1287.250122,11792.835938,3
epoch,104,0,13080.085938,1287.250122,11792.835938,3
batch,105,1,13868.576172,773.857727,13094.718750,3
epoch,105,0,13868.576172,773.857727,13094.718750,3
batch,106,1,11968.085938,301.961792,11666.124023,3
epoch,106,0,11968.085938,301.961792,11666.124023,3
batch,107,1,15695.232422,1287.197144,14408.035156,3
epoch,107,0,15695.232422,1287.197144,14408.035156,3
batch,108,1,13061.854492,1287.230347,11774.624023,3
epoch,108,0,13061.854492,1287.230347,11774.624023,3
batch,109,1,12218.394531,1127.175171,11091.219727,3
epoch,109,0,12218.394531,1127.175171,11091.219727,3
batch,110,1,12095.714844,539.227478,11556.487305,3
epoch,110,0,12095.714844,539.227478,11556.487305,3
batch,111,1,17169.849609,1287.220093,15882.629883,3
epoch,111,0,17169.849609,1287.220093,15882.629883,3
batch,112,1,12135.430664,1205.976929,10929.454102,3
epoch,112,0,12135.430664,1205.976929,10929.454102,3
batch,113,1,16800.322266,8.835114,16791.486328,2
epoch,113,0,16800.322266,8.835114,16791.486328,2
batch,114,1,15036.610352,1051.238525,13985.372070,3
epoch,114,0,15036.610352,1051.238525,13985.372070,3
batch,115,1,12559.325195,1287.103882,11272.221680,3
epoch,115,0,12559.325195,1287.103882,11272.221680,3
batch,116,1,14137.297852,1287.153687,12850.144531,3
epoch,116,0,14137.297852,1287.153687,12850.144531,3
batch,117,1,13377.682617,1287.240601,12090.442383,3
epoch,117,0,13377.682617,1287.240601,12090.442383,3
batch,118,1,14583.398438,1287.250000,13296.148438,3
epoch,118,0,14583.398438,1287.250000,13296.148438,3
batch,119,1,16729.410156,1287.261963,15442.147461,3
epoch,119,0,16729.410156,1287.261963,15442.147461,3
